"","year","women_directors","women_writers","women_producers","women_sound","women_music","women_art","women_makeup","women_costume"
"1",2017,3.57142857142857,9.38628158844765,23.030303030303,14.1749723145072,22.4699828473413,26.8748400307141,68.2220434432824,69.8979591836735
"2",2016,3.17460317460317,9.1743119266055,19.047619047619,14.0291806958474,25.8489609731374,25.044814340589,67.5438596491228,69.4465504169826
"3",2015,6,12.4324324324324,21.1991434689507,15.6906077348066,20.4616344354336,24.9069709749442,68.8311688311688,70.8333333333333
"4",2014,1.78571428571429,8.04195804195804,23.1263383297645,14.8902821316614,22.8696741854637,22.3199814771938,67.2950819672131,67.4743024963289
"5",2013,1.88679245283019,10.7692307692308,22.8628230616302,13.5400516795866,20.4648160103292,22.4554552111301,63.8869745003446,69.794952681388
"6",2012,5.35714285714286,10.2272727272727,24.0654205607477,12.3369565217391,21.6281895504253,20.9039548022599,66.9540229885057,68.8353936239427
"7",2011,3.84615384615385,9.52380952380952,19.7339246119734,15.0841020075963,18.0981595092025,20.2279202279202,70.0948212983224,67.4454828660436
"8",2010,0,10.5263157894737,17.4008810572687,16.0669975186104,20.9013716525147,22.3819858925665,65.8111824014665,68.7208216619981
"9",2009,7.40740740740741,13.1578947368421,21.2471131639723,15.3018529587567,19.157340355497,22.1438645980254,61.1561866125761,70.2594810379241
"10",2008,7.54716981132075,9.75609756097561,18.6761229314421,14.7058823529412,19.8298429319372,21.8097447795824,60.8776844070962,71.2025316455696
"11",2007,3.33333333333333,9.04761904761905,17.4224343675418,16.139044072005,19.6438508625487,20.2189115232594,59.2330978809284,67.3603504928806
